"x","Country","Year","TotalMedallas","PIB"
"744","Turkey",2012,5,873982246611.954
"745","Turkey",2016,8,863721648068.806
"746","Uganda",1968,2,1037815126.05042
"747","Uganda",1972,2,1491596638.65546
"748","Uganda",1980,1,1244610000
"749","Uganda",1996,1,6044585326.938
"750","Uganda",2012,1,23114293416.3905
"751","UK",1960,28,72328047042.1588
"752","UK",1964,30,93387598813.9269
"753","UK",1968,19,104702736248.084
"754","UK",1972,29,169965034965.035
"755","UK",1976,33,232614555256.065
"756","UK",1980,48,564947710899.373
"757","UK",1984,73,461487097632.349
"758","UK",1988,54,910122732123.799
"759","UK",1992,50,1179659529659.53
"760","UK",1996,26,1409410296411.86
"761","UK",2000,54,1648269027084.28
"762","UK",2004,57,2403614060783.6
"763","UK",2008,81,2904036764705.88
"764","UK",2012,126,2676605417645.99
"765","UK",2016,145,2659238931670.25
"766","Ukraine",1996,34,44558077827.135
"767","Ukraine",2000,35,31261527363.144
"768","Ukraine",2004,47,64819702951.6826
"769","Ukraine",2008,31,179816790704.739
"770","Ukraine",2012,26,175781379051.433
"771","Ukraine",2016,15,93355993628.5042
"772","United Arab Emirates",2004,1,147824370319.946
"773","United Arab Emirates",2016,1,357045064669.843
"774","Uruguay",1964,1,1975701816.46615
"775","Uruguay",2000,1,22823255801.8447
"776","USA",1960,152,5.433e+11
"777","USA",1964,177,6.858e+11
"778","USA",1968,173,9.425e+11
"779","USA",1972,195,1.27911e+12
"780","USA",1976,175,1.873412e+12
"781","USA",1980,30,2.857307e+12
"782","USA",1984,361,4.037613e+12
"783","USA",1988,214,5.236438e+12
"784","USA",1992,238,6.520327e+12
"785","USA",1996,259,8.073122e+12
"786","USA",2000,242,10252345464000
"787","USA",2004,263,12213729147000
"788","USA",2008,317,14712844084000
"789","USA",2012,248,16197007349000
"790","USA",2016,264,18707188235000
"791","Uzbekistan",1996,2,13948892215.5689
"792","Uzbekistan",2000,4,13760513969.314
"793","Uzbekistan",2004,5,12030023547.8807
"794","Uzbekistan",2008,6,29549438883.8338
"795","Uzbekistan",2012,3,51821573338.1312
"796","Uzbekistan",2016,13,81779019095.6692
"797","Venezuela",1960,1,7779090909.09091
"798","Venezuela",1968,1,10034444444.4444
"799","Venezuela",1976,1,31419534883.7209
"800","Venezuela",1980,1,59116511627.907
"801","Venezuela",1984,3,60010285714.2857
"802","Venezuela",2004,2,112453382329.615
"803","Venezuela",2008,1,315953388510.678
"804","Venezuela",2012,1,381286237847.667
"805","Vietnam",2000,1,31172518403.3162
"806","Vietnam",2008,1,99130304099.1274
"807","Vietnam",2016,2,205276172134.901
"808","Zambia",1984,1,2739444444.44445
"809","Zambia",1996,1,3597220962.00017
"810","Zimbabwe",1980,15,6678868200
"811","Zimbabwe",2004,3,5805598400
"812","Zimbabwe",2008,4,4415702800
